藏文	中文
ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ	圓寂
ཡོངས་སུ་རྫོགས་པའི་འགོག་པ	圓滿滅
ཡོངས་སུ་ཤེས་པ	遍知
ཡོད་ཁྱབ་གཉིས	二有周遍
ཡོད་རྟོགས་མེད་རྟོགས	有證、無證
ཡོད་པ	有
ཡོད་མེད་སྐྱེ་འགོག་གི་གཏན་ཚིགས	破有無生因
ཡོན་ཏན	功德
ཡོན་གནས	功德處
གཡོ	諂
རྭ་སྟོད་བསྡུས་གྲྭ	《惹對攝類學》
རོའི་སྐྱེ་མཆེད	味處
རང་གི་དགག་བྱ་བཀག་ཤུལ་དུ་འཕངས་པའི་སྒྲུབ་པ་མེད་པ	遮遣該法之所遮品，不另引出成立法
རང་གི་མཚན་ཉིད་ཀྱིས་གྲུབ་པ	以自相成立
རང་འགྲེལ	《自釋》
རང་རྒྱུད་པ	自續師
རང་རྒྱུད་འཕེན་པའི་ཐལ་འགྱུར	牽引自續應成
རང་རྒྱུད་མི་འཕེན་པའི་ཐལ་འགྱུར	不牽引自續應成
རང་ངོས་ནས་གྲུབ་པ	自方成立就
རང་ཆས་སུ་སྐྱེ་བ	與生俱來
རང་དོན་སྐབས་ཀྱི་རྟགས་ཡང་དག	自義時正因
རང་དོན་དོན་གཉེར་གྱི་བློ	希求自利之覺知
རང་ལྡོག	自返體
རང་མ་ཡིན་པའི་ལྡོག་ཆོས	非自之反法
རང་མ་ཡིན་པའི་ལྡོག་ཆོས་ཀྱི་རྗེས་མཐུན	隨順非自之反法
རང་མཚན	自相
རང་འཛིན་རྟོག་པ	執自分別
རང་བཞིན	本質、性質
རང་བཞིན་འགལ་དམིགས	自性相違可得
རང་བཞིན་གྱི་རྟགས་ཡང་དག	自性正因
རང་བཞིན་མྱང་འདས	自性涅槃
རང་ཡིན་ལྡོག་ཆོས	是自之反法
རང་ཡིན་ལྡོག་ཆོས་ཀྱི་རྗེས་མཐུན	隨順是自之反法
རང་རིག་མངོན་སུམ	自證現前
རང་ལས་ངེས་ཀྱི་ཚད་མ	自決定量
རང་ལུགས	自宗
རང་སངས་རྒྱས	緣覺
རཏྣ་ཀིརྟི	爇那機地
རབ་སྐྱེ	生
རབ་དབྱེ	分類
རབ་འབྱོར	善現
རབ་རྩལ་རྣམ་གནོན་གྱིས་ཞུས་པ	《惹傑朗內請問經》
རི་བོང་ཅན	懷兔
རི་བོང་རྭ	兔角
རིང་བ	長
རིག་པ	了知
རིག་པའི་གནས་ལྔ	五明
རིགས་ཀྱི་བུ	善男子
རིགས་རྒྱུན	類續流、類流
རིགས་བརྗོད་ཀྱི་སྒྲ	詮類聲
རིགས་གཏེར	《量理寶藏論》
རིགས་ཐིག་ཊཱིཀ	《正理滴論釋》
རིགས་པ	正理、如
རིགས་པ་ཅན་པ	正理派
རིགས་པ་དྲུག་ཅུ་པའི་འགྲེལ་བ	《六十正理論釋》
རིགས་པའི་རྒྱལ་པོ་རྟེན་འབྲེལ་གྱི་གཏན་ཚིགས	正理之王緣起因
རིགས་པའི་རྗེས་འབྲང	隨理行
རིགས་པའི་དབང་ཕྱུག	正理自在者
རིགས་སྤྱི	類總
རིགས་ཚོགས་དྲུག	理聚六論
རིགས་སད་པ	種性覺醒
རིགས་སུ་གནས་པ	住類
རིན་པོ་ཆེ	寶
རེག་བྱའི་སྐྱེ་མཆེད	觸處
རེག་བྱའི་དགག་གཞི	觸之遮處
རེས་འགའ་སྐྱེ་བ	偶爾生起
རོ་ཡི་དགག་གཞི	味之遮處
རིགས་ཅན	品類
རིང་མོ་ཞིག་ནས་འདའ་བ	經久般
རོང་ཊིཀ་པ	榮澤巴
རླུང	風
ལག་རྗེས	手跡
ལག་ལྡན	具手
ལག་ན་རྡོ་རྗེ	金剛手
ལང་ཀར་གཤེགས་པའི་མདོ	《入楞伽經》
ལམ	道
ལམ་སྒྲོན	《菩提道燈論》
ལམ་སྒྲོན་འགྲེལ་པ	《道燈炬論釋》
ལམ་རྗེས་ཤེས	道類智
ལམ་བདེན	道諦
ལམ་འཕགས་པའི་བདེན་པ	道聖諦
ལམ་རིམ	道次第
ལམ་རིམ་ཆུང་བ	《菩提道次第略論》
ལམ་ཤེར་ཕྱིན	道般若
ལམ་ཤེས	道種智
ལས་ཀྱི་ཀུན་འབྱུང	業集
ལས་ཀྱི་མཐའ	正業
ལུང་གི་ཆོས་འཁོར	教法輪
ལུང་གི་རྗེས་འབྲང	隨教行
ལུང་རྟོགས	教證
ལུང་བསྟན	授記
ལུང་རྣམ་དག	清淨言教
ལུས་མངོན་བྱེད	身證
ལུང་མ་བསྟན	無記
ལུས་རྟེན	身所依
ལུས་ཤེས་ཀྱི་རེག་བྱ	身知所觸
ལེ་ལོ	懈怠
ལེགས་བཤད	善說
ལེགས་བཤད་སྙིང་པོ	《辨了不了義善說藏》
ལེགས་བཤད་གསེར་ཕྲེང	《金鬘疏善說》
ལོ་ཏོག	莊稼
ལོངས་སྐུ	報身
ལོག་ལྟ	邪見
ལོག་རྟོག	顛倒分別
ལོག་པའི་ཀུན་རྫོབ	倒世俗
ལོག་ཤེས	顛倒知
ལོ་ཙྪ་ཆེན་པོ	大譯師
ལན་གཅིག་ཕྱིར་འོང	一來一返
ཤ་ཟ་བསྐལ་དོན	隱蔽事的鬼
ཤཱ་རིའི་བུ	舍利子
ཤཱཀྱ་བློ	釋迦覺
ཤར་ཕྱོགས་ཀྱི་མེ	東邊的火
ཤནྟི་པ	先地
ཤིན་ཏུ་ལྐོག་གྱུར	極隱蔽分
ཤིང	樹
ཤིང་རྟ་ཆེན་པོ	大車軌師
ཤིང་རྟའི་སྲོལ་འབྱེད	創軌師
ཤུགས་ཀྱིས་རྟོགས་པ	以其力通達
ཤུགས་ཡུལ	順帶境
ཤུགས་རྟོགས	順帶通達
ཤུགས་ལ་རྟོགས་པ	順帶通達
ཤུགས་ལ་འཕེན་པ	隨附引出
ཤེར་ཕྱིན་བདུན་བརྒྱ་པ	《般若七百頌》
ཤེར་ཕྱིན་འབུམ་པ	《般若十萬頌》
ཤེར་ཕྱིན་ཡི་གེ་གཅིག་མ	《般若一字經》
ཤེར་ཕྱོགས་ཀྱི་མདོ	般若品經
ཤེར་འབྱུང	慧源
ཤེས་བསྐྱེད་ཀྱི་ལམ	知生之道
ཤེས་སྒྲིབ	所知障
ཤེས་འདོད་ཆོས་ཅན	欲知有法
ཤེས་པ	知覺
ཤེས་པར་གྱུར་པའི་ལྷན་ཅིག་མི་གནས་འགལ་ལ་བརྟེན་པའི་འགལ་དམིགས་ཀྱི་རྟགས་ཡང་དག	依賴知覺不並存相違之相違可得正因
ཤེས་བྱ	所知
ཤེས་བཞིན་མ་ཡིན་པ	不正知
ཤེས་རབ	智慧
ཤེས་རབ་ཁྲི་པ	《般若萬頌》
ཤེས་རབ་ཀྱི་བསླབ་པ	慧學
ཤེས་རབ་སྒྲོན་མེའི་ཕྲེང་བ	《般若燈鬘》
ཤེས་རབ་ཉོན་མོངས་ཅན	染慧
ཤེས་རབ་སྙིང་པོ	《般若心經》
ཤེས་རབ་སྡོང་བུ	《智樹論》
ཤོ་ལོ་ཀ	偈頌
བཤད་ཐབས་ཡན་ལག་ལྔ	五支闡述方便
བཤད་བྱ་རྩ་བའི་མདོ	所詮釋根本經
ས	地
ས་བཅུ	十地
ས་བཅུའི་དབང་ཕྱུག	十地自在
ས་མཚམས	界限
སངས་རྒྱས་དཀོན་མཆོག	佛寶
སངས་རྒྱས་བསྐྱངས	佛護論師
སངས་རྒྱས་བཅོམ་ལྡན་འདས	佛薄伽梵
སངས་རྒྱས་འཕགས་པ	佛聖者
སངས་རྒྱས་ཡེ་ཤེས	桑傑耶西
སུམ་བརྒྱ་པ	《般若三百頌》
སུམ་ཅུ་པ	《唯識三十頌》
སེང་གེ་བཟང་པོ	獅子賢
སེམས	心
སེམས་ཀྱི་ས་མང	大地法
སེམས་བསྐྱེད	發心
སེམས་རྟེན	心所依
སེམས་ལྡན	含識
སེམས་པ	思
སེམས་དཔའི་རྣལ་འབྱོར	菩薩瑜伽
སེམས་འབྱུང	心所
སེམས་ཙམ་པའི་ལུགས	唯識宗
སེམས་འཛིན་པ	持心
སེར་སྣ	慳
སེལ་བའི་རྣམ་པ	遣相
སོ་ཐར་གྱི་སྡོམ་པ	別解脫戒
སོ་སོ་སྐྱེ་བོ	凡夫、異生
སོ་སོར་བརྟགས་འགོག	擇滅
སྲས་བཅུ་གཅིག	十一子經
སྲེད་པ	愛
སྲོག་གཅོད	殺生
སྲོག་གཅོད་ལ་དགའ་བ	好樂殺生
སྲོག་ཆགས	含識
སྲོག་ཆགས་སུ་གྱུར་པའི་ལྷན་ཅིག་མི་གནས་འགལ་ལ་བརྟེན་པའི་འགལ་དམིགས་ཀྱི་རྟགས་ཡང་དག	依賴有情不並存相違之相違可得正因
སློབ་པ	有學
སློབ་དཔོན་ཀ་མ་ལ་ཤཱི་ལ	蓮花戒阿闍黎
སློབ་དཔོན་རྒྱལ་དབང་བློ	勝王覺阿闍黎
སློབ་དཔོན་ཆོས་མཆོག	法上阿闍黎
སློབ་དཔོན་ཕྱོགས་གླང	陳那阿闍黎
སློབ་དཔོན་དབྱིག་གཉེན	世親阿闍黎
སློབ་དཔོན་ཞི་འཚོ	靜命阿闍黎
སློབ་དཔོན་ལེགས་ལྡན་འབྱེད	清辨阿闍黎
བསླུ་བ	欺誑
གསལ་ཞིང་རིག་པ	明而了知
གསུང་རབ	教語
གསུང་རབ་ཡན་ལག་བཅུ་གཉིས	十二分教
གསེར་གླིང་པ	金洲
གསེར་ཕྲེང	《金鬘疏》
གསེར་འོད་དམ་པ	《金光明經》
གསོས་འདེབས	滋潤
བསམ་གཏན་དང་པོའི་ཉེར་བསྡོགས	初靜慮近分
བསམ་པ	意樂、思惟
བསལ་སྤུངས་ཀྱི་འགོད་ཚུལ	遣法重疊的立式
བསལ་བ	"遣除	遣法"
བསེ་རུ་ལྟ་བུ་རང་སངས་རྒྱས	麟喻獨覺
བསོད་ནམས་གྱི་ལས	福德
སྲིད་རྩེའི་མཐར་ཐུག་འགྲོ་བའི་ཕྱིར་མི་འོང་གོང་འཕོ	行有頂之不還上流
བསླབ་བཏུས	《集學論》
བསམ་གཏན་གྱི་སྤེལ་སྒོམ	雜修靜慮
བསམ་གཏན་ས་དྲུག	靜慮六地
སྲིད་རྩེ	有頂
ཧ་ཅང་ཐལ་ལོ	太過矣
ལྷ	天、神
ལྷ་དབང་བློ	天王覺
ལྷ་མ་ཡིན	非天
ལྷའི་རིགས་ནས་རིགས་སྐྱེ	天家家
ལྷག་བཅས་ཀྱི་འགོག་པ	有餘滅
ལྷག་བཅས་མྱང་འདས	有餘涅槃
ལྷག་མཐོང	毗婆舍那
ལྷག་ལྡན་གྱི་གཏན་ཚིགས	有餘因
ལྷག་མེད་ཀྱི་འགོག་པ	無餘滅
ལྷག་བསམ	增上意樂
ལྷག་བསམ་དག་པའི་སེམས་བསྐྱེད	增上意樂清淨發心
ལྷན་སྐྱེས	俱生
ལྷན་ཅིག་བྱེད་རྐྱེན	俱生緣
ལྷན་ཅིག་བྱེད་འབྲས	俱生果
ལྷན་ཅིག་འབྱུང་བའི་རྒྱུ	俱生因
ལྷན་ཅིག་མི་གནས་འགལ	不並存相違
ལྷན་ཅིག་མི་གནས་འགལ་ལ་བརྟེན་པའི་འགལ་དམིགས་ཀྱི་རྟགས་ཡང་དག	依賴不並存相違之相違可得正因
ལྷས་བྱིན	天授
ལྷུན་གྲུབ	任成
 ཨར་བྱང་ཆུབ་ཡེ་ཤེས	阿爾菩提本智
ཨ་བྷྱ	阿悲
ཨུཧྤལ	青蓮花
